Label,BloombergColumn
Global Equities,Global Equities — MSCI World Net TR (NDDUWI Index)
EM Equities,MSCI Emerging Markets Index
Global Bonds,Global Bonds — Bloomberg Global Agg TR (LEGATRUU Index)
UK Gilts All Stocks,UK Gilts All Stocks — FTSE Actuaries UK Conventional Gilts All Stocks (FTFIBGT Index)
UK Gilts 15yr+,UK Gilts Over 15 Years — FTSE Actuaries UK Conventional Gilts Over 15 Years (FTRFBGH Index)
UK Index-Linked Gilts,FTSE Actuaries Govt Securities UK Index Linked TR Over 5 Yr
Securitised Credit,Securitised Credit — Bloomberg US Securitized TR (I05582GB Index)
REITs,FTSE EPRA NAREIT Developed Total Return Index USD (RUGL)
Infrastructure,Infrastructure Equities — MSCI World Infrastructure Net Total Return USD Index (M1W0OINF)
Commodities,Commodities — Bloomberg Commodity TR (BCOMTR Index)
Cash,"Cash (GBP) - SONIA-based, spliced with Blackrock ICS proxy pre-2014"
UK Gilts <5yr,FTSE Actuaries UK Conventional Gilts up to 5 Years Index
US Treasuries 20yr+,Bloomberg US Treasury 20+ year Index
