age,qx_male,qx_female
20,0.000492,0.000206
21,0.000497,0.000206
22,0.000507,0.00021
23,0.000503,0.000219
24,0.000543,0.000231
25,0.000567,0.000247
26,0.000596,0.000266
27,0.000629,0.000288
28,0.000666,0.000313
29,0.000708,0.000342
30,0.000754,0.000374
31,0.000805,0.00041
32,0.000862,0.000449
33,0.000923,0.000491
34,0.00099,0.000538
35,0.001062,0.000588
36,0.001141,0.000643
37,0.001226,0.000702
38,0.001319,0.000766
39,0.001419,0.000836
40,0.001527,0.000911
41,0.001644,0.000993
42,0.001771,0.001081
43,0.001908,0.001177
44,0.002055,0.001281
45,0.002215,0.001393
46,0.002386,0.001515
47,0.002571,0.001647
48,0.002769,0.001789
49,0.002981,0.001943
50,0.003207,0.002108
51,0.003446,0.002285
52,0.003697,0.002473
53,0.003956,0.002673
54,0.004221,0.002882
55,0.004484,0.0031
56,0.004735,0.003322
57,0.00496,0.003544
58,0.005139,0.003759
59,0.00524,0.003956
60,0.005395,0.004107
61,0.005708,0.004262
62,0.006078,0.004462
63,0.006512,0.004712
64,0.007019,0.005016
65,0.007608,0.005381
66,0.00829,0.005815
67,0.009079,0.006328
68,0.009991,0.006932
69,0.011043,0.00764
70,0.012256,0.008469
71,0.013656,0.009438
72,0.015269,0.010571
73,0.017129,0.011892
74,0.019273,0.013435
75,0.021742,0.015233
76,0.024586,0.01733
77,0.027857,0.019772
78,0.031618,0.022613
79,0.035937,0.025916
80,0.04089,0.029748
81,0.046659,0.034187
82,0.053035,0.039317
83,0.060416,0.04523
84,0.068804,0.052023
85,0.078455,0.059841
86,0.089462,0.068797
87,0.101768,0.078954
88,0.115468,0.090226
89,0.130642,0.105013
90,0.14735,0.117443
91,0.165629,0.133103
92,0.185479,0.150174
93,0.206859,0.168591
94,0.229679,0.188245
95,0.253793,0.208983
96,0.278996,0.230612
97,0.305022,0.252915
98,0.331547,0.275663
99,0.358193,0.298633
100,0.38454,0.321636
101,0.410137,0.344531
102,0.434514,0.367256
103,0.457201,0.389844
104,0.477737,0.412447
105,0.49266,0.431531
106,0.503488,0.446901
107,0.514061,0.461847
108,0.524386,0.476425
109,0.534468,0.490638
110,0.544313,0.504491
111,0.553928,0.517989
112,0.563319,0.531138
113,0.572492,0.543943
114,0.581452,0.556412
115,0.590205,0.56855
116,0.598757,0.580364
117,0.607114,0.591861
118,0.61528,0.603048
119,0.62326,0.613932
120,1.0,1.0
